Empresa,Nombre,Cargo,% Derechos Voto,Fecha Nombramiento
"ABERTIS INFRAESTRUCTURAS, S.A.","THEATRE DIRECTORSHIP SERVICES GAMA, S.A.R.L.",CONSEJERO,0.000,25/10/2010
"INDO INTERNACIONAL, S.A.","BADIA ALMIRALL, LUIS",CONSEJERO,0.067,16/06/2008
"INDO INTERNACIONAL, S.A.","COBAIN MERCADO, S.L.",PRESIDENTE,14.489,01/12/2011
"INDO INTERNACIONAL, S.A.","COHERMA MERCADO, S.L.",CONSEJERO,10.412,16/06/2008
"INDO INTERNACIONAL, S.A.","DOMASA INVERSIONES, S.L.",CONSEJERO,9.000,01/10/2007
"INDO INTERNACIONAL, S.A.","MAS SUMALLA, RAMON",CONSEJERO,0.000,16/06/2008
"INDO INTERNACIONAL, S.A.","SABRIA PITARCH, JUAN",CONSEJERO DELEGADO,0.000,01/12/2011
"DOGI INTERNATIONAL FABRICS, S.A.","DOMENECH ALVARO, EDUARDO",CONSEJERO,0.030,10/12/1997
"DOGI INTERNATIONAL FABRICS, S.A.","DOMENECH ALVARO, SERGIO",CONSEJERO,0.030,10/12/1997
"DOGI INTERNATIONAL FABRICS, S.A.","DOMENECH GIMENEZ, JOSEP",PRESIDENTE,29.531,10/12/1997
"DOGI INTERNATIONAL FABRICS, S.A.",FIATC MUTUA DE SEGUROS Y DE REASEGUROS A PRIMA FIJA,CONSEJERO,0.703,26/05/2005
"DOGI INTERNATIONAL FABRICS, S.A.","FRANQUES RIBERA, CARLOS",CONSEJERO,0.016,14/06/2012
"DOGI INTERNATIONAL FABRICS, S.A.","LOS CLASICOS Z, S.L.",CONSEJERO,n/d,29/10/2010
"DOGI INTERNATIONAL FABRICS, S.A.","TORRAS TORRAS, JORGE",CONSEJERO DELEGADO,0.547,10/11/2008
"MOBILIARIA MONESA, S.A.","CAHISPA, S.A. DE SEGUROS DE VIDA",CONSEJERO,18.038,14/06/2011
"MOBILIARIA MONESA, S.A.","CELLA RAYMOND, JUAN ERNESTO",CONSEJERO,1.000,30/06/2009
"MOBILIARIA MONESA, S.A.","FERRAN CALDERO, CARLOS",CONSEJERO,0.500,30/06/2009
"MOBILIARIA MONESA, S.A.","GUINART ROYO, ALBERT",CONSEJERO,0.000,02/07/2009
"MOBILIARIA MONESA, S.A.","HUGUET GALI, ORIOL",VICEPRESIDENTE,0.000,15/12/2011
"MOBILIARIA MONESA, S.A.","INVERSIONES GUINART 2001, S.L.",PRESIDENTE,16.684,15/12/2011
"MOBILIARIA MONESA, S.A.","RADE 2000, S.L.",CONSEJERO,22.989,18/02/2008
"MOBILIARIA MONESA, S.A.","ROSE RED, S.L.",CONSEJERO,6.116,30/06/2008
"MOBILIARIA MONESA, S.A.","VIOLA TARRAGONA, ENRIQUE",CONSEJERO,0.412,30/06/2008
"TESTA INMUEBLES EN RENTA, S.A.","CORSINI FREESE, MIGUEL",CONSEJERO,n/d,29/06/2004
"TESTA INMUEBLES EN RENTA, S.A.","CROISSIER BATISTA, LUIS CARLOS",CONSEJERO,0.000,26/07/2005
"TESTA INMUEBLES EN RENTA, S.A.","DEL CORRO GARCIA-LOMAS, PEDRO",CONSEJERO,0.000,28/01/2003
"TESTA INMUEBLES EN RENTA, S.A.","LOUREDA LOPEZ, DANIEL",CONSEJERO DELEGADO,0.000,29/01/2008
"TESTA INMUEBLES EN RENTA, S.A.","LOUREDA MANTIÑAN, JOSE MANUEL",CONSEJERO,n/d,30/06/2003
"TESTA INMUEBLES EN RENTA, S.A.","MANRIQUE CECILIA, MANUEL",CONSEJERO,0.000,30/11/2004
"TESTA INMUEBLES EN RENTA, S.A.","RODRIGUEZ-AVIAL LLARDENT, FERNANDO",PRESIDENTE-CONSEJERO DELEGADO,0.000,29/06/2010
"TESTA INMUEBLES EN RENTA, S.A.","RODRIGUEZ-PONGA SALAMANCA, ESTANISLAO",CONSEJERO,n/d,29/06/2004
"UNION CATALANA DE VALORES, S.A.","ALVAREZ GOMIS, ALFREDO",CONSEJERO,0.254,10/07/2003
"UNION CATALANA DE VALORES, S.A.","CALSINA GOMIS, JOAQUIN",CONSEJERO,0.002,10/07/2003
"UNION CATALANA DE VALORES, S.A.","CASCANTE DAVILA, LUIS MARIA",CONSEJERO,n/d,29/06/2012
"UNION CATALANA DE VALORES, S.A.","GIL PEREZ, ANTONIO",CONSEJERO,n/d,29/06/2012
"UNION CATALANA DE VALORES, S.A.","GOMIS PINTO, ENRIQUE",PRESIDENTE-CONSEJERO DELEGADO,0.008,26/06/2003
"UNION CATALANA DE VALORES, S.A.","PINTO PRAT, MARIA LORETO",CONSEJERO,0.008,21/12/1988
"INVERPYME, S.C.R. DE REGIMEN COMUN, S.A.","AURELL FERRER, JOSE MARIA",VICEPRESIDENTE,8.047,24/11/2009
"INVERPYME, S.C.R. DE REGIMEN COMUN, S.A.","BANCO DE LA PEQUEÑA Y MEDIANA EMPRESA, S.A.",CONSEJERO,28.951,30/11/2005
"INVERPYME, S.C.R. DE REGIMEN COMUN, S.A.","CASTELLO VILA, RAMON",CONSEJERO,n/d,17/11/2004
"INVERPYME, S.C.R. DE REGIMEN COMUN, S.A.","DURAN BELLIDO, JOSE Mª",CONSEJERO,0.510,02/07/2001
"INVERPYME, S.C.R. DE REGIMEN COMUN, S.A.","EUROFONDO, S.A.",CONSEJERO,0.001,10/01/2013
"INVERPYME, S.C.R. DE REGIMEN COMUN, S.A.",FIDUCIAIRE RENE GILLIERON,CONSEJERO,0.477,02/07/2001
"INVERPYME, S.C.R. DE REGIMEN COMUN, S.A.","PLUVISILVA IBERICA, S.L.",CONSEJERO,5.046,02/07/2001
"CAIXABANK, S.A.","AURIN PARDO, EVA",CONSEJERO,0.000,26/06/2012
"CAIXABANK, S.A.","BASSONS BONCOMPTE, MARIA TERESA",CONSEJERO,0.000,26/06/2012
"CAIXABANK, S.A.",CAJA DE AHORROS Y MONTE DE PIEDAD DE NAVARRA,CONSEJERO,1.163,20/09/2012
"CAIXABANK, S.A.","ESTAPE TOUS, ISABEL",CONSEJERO,0.007,06/09/2007
"CAIXABANK, S.A.","FAINE CASAS, ISIDRO",PRESIDENTE,0.014,07/05/2009
"CAIXABANK, S.A.","GABARRO SERRA, SALVADOR",CONSEJERO,0.000,06/06/2003
"CAIXABANK, S.A.","GALLARDO TORREDEDIA, SUSANA",CONSEJERO,0.001,06/09/2007
"CAIXABANK, S.A.","GODO MUNTAÑOLA, JAVIER",CONSEJERO,0.030,02/05/2005
"CAIXABANK, S.A.","IBARZ ALEGRIA, JAVIER",CONSEJERO,0.000,26/06/2012
"CAIXABANK, S.A.","LI , DAVID K.P.",CONSEJERO,0.000,06/09/2007
"CAIXABANK, S.A.","LLOBET MARIA, MARIA DOLORES",CONSEJERO,0.000,07/05/2009
"CAIXABANK, S.A.","LOPEZ BURNIOL, JUAN JOSE",CONSEJERO,0.000,12/05/2011
"CAIXABANK, S.A.","MINC , ALAIN",CONSEJERO,0.000,06/09/2007
"CAIXABANK, S.A.","MONTE DE PIEDAD Y CAJA DE AHORROS SAN FERNANDO DE GUADALAJARA, HUELVA, JEREZ",CONSEJERO,1.114,20/09/2012
"CAIXABANK, S.A.","NIN GENOVA, JUAN MARIA",VICEPRESIDENTE-CONSEJERO DELEGADO,0.007,12/05/2011
"CAIXABANK, S.A.","REED , JOHN S.",CONSEJERO,0.000,03/11/2011
"CAIXABANK, S.A.","RODES CASTAÑE, LEOPOLDO",CONSEJERO,0.000,30/07/2009
"CAIXABANK, S.A.","ROSELL LASTORTRAS, JUAN",CONSEJERO,0.001,06/09/2007
"CAIXABANK, S.A.","VIVES TORRENTS, FRANCESC XAVIER",CONSEJERO,0.000,08/06/2008
"CAMPOFRIO FOOD GROUP, S.A.","BALLVE LANTERO, PEDRO JOSE",PRESIDENTE,12.402,30/06/1992
"CAMPOFRIO FOOD GROUP, S.A.","DE LA DEHESA ROMERO, GUILLERMO",CONSEJERO,0.000,21/03/1997
"CAMPOFRIO FOOD GROUP, S.A.","GUIBELALDE IÑURRITEGUI, JUAN JOSE",CONSEJERO,0.001,30/06/1992
"CAMPOFRIO FOOD GROUP, S.A.","LARRY POPE, CHARLES",CONSEJERO,0.000,16/12/2008
"CAMPOFRIO FOOD GROUP, S.A.","LUTER IV , JOSEPH W.",CONSEJERO,0.000,25/02/2010
"CAMPOFRIO FOOD GROUP, S.A.","MICHAEL KHAIRALLAH, KARIM",CONSEJERO,0.000,16/12/2008
"CAMPOFRIO FOOD GROUP, S.A.","PETRIDES , YIANNIS",VICEPRESIDENTE,0.010,16/12/2008
"CAMPOFRIO FOOD GROUP, S.A.","SAMUEL KRAMER, CALEB",CONSEJERO,0.000,16/12/2008
"CAMPOFRIO FOOD GROUP, S.A.","SERRANO MARTIN, LUIS",CONSEJERO,0.000,30/06/2000
"CAMPOFRIO FOOD GROUP, S.A.","SHARPE , ROBERT ALAIR",CONSEJERO,0.000,29/05/2012
"BANKIA, S.A","AYUSO GARCIA, JOAQUIN",CONSEJERO,0.000,25/05/2012
"BANKIA, S.A","CAMPO GARCIA, FRANCISCO JAVIER",CONSEJERO,0.000,25/05/2012
"BANKIA, S.A","CASTILLO SANZ, EVA",CONSEJERO,0.000,25/05/2012
"BANKIA, S.A","COSMEN MENENDEZ-CASTAÑEDO, JORGE",CONSEJERO,0.000,25/05/2012
"BANKIA, S.A","FEITO HIGUERUELA, JOSE LUIS",CONSEJERO,0.000,25/05/2012
"BANKIA, S.A","FERNANDEZ MENDEZ DE ANDES, FERNANDO",CONSEJERO,0.000,25/05/2012
"BANKIA, S.A","GOIRIGOLZARRI TELLAECHE, JOSE IGNACIO",PRESIDENTE,0.001,09/05/2012
"BANKIA, S.A","LAFITA PARDO, ALFREDO",CONSEJERO,0.000,08/06/2012
"BANKIA, S.A","RENGIFO ABBAD, ALVARO",CONSEJERO,0.000,08/06/2012
"BANKIA, S.A","SEVILLA ALVAREZ, JOSE",CONSEJERO,0.000,25/05/2012
"INDUSTRIA DE DISEÑO TEXTIL, S.A.","ARNAU SIERRA, JOSE",VICEPRESIDENTE,0.001,17/07/2012
"INDUSTRIA DE DISEÑO TEXTIL, S.A.","ESPINOSA DE LOS MONTEROS BERNALDO DE QUIROS, CARLOS",CONSEJERO,0.006,17/07/2012
"INDUSTRIA DE DISEÑO TEXTIL, S.A.","GARTLER, S.L.",CONSEJERO,50.010,12/12/2006
"INDUSTRIA DE DISEÑO TEXTIL, S.A.","ISLA ALVAREZ DE TEJERA, PABLO",PRESIDENTE-CONSEJERO DELEGADO,0.058,19/07/2011
"INDUSTRIA DE DISEÑO TEXTIL, S.A.","MILLER , IRENE R.",CONSEJERO,0.002,23/05/2001
"INDUSTRIA DE DISEÑO TEXTIL, S.A.","ORTEGA GAONA, AMANCIO",CONSEJERO,59.294,23/05/2001
"INDUSTRIA DE DISEÑO TEXTIL, S.A.","SARACHO RODRIGUEZ DE TORRES, EMILIO",CONSEJERO,0.000,13/07/2010
"INDUSTRIA DE DISEÑO TEXTIL, S.A.","SMEDEGAARD ANDERSEN, NILS",CONSEJERO,0.001,13/07/2010
"INDUSTRIA DE DISEÑO TEXTIL, S.A.","URGOITI LOPEZ OCAÑA, JUAN MANUEL",CONSEJERO,0.004,23/05/2001
"FLUIDRA, S.A.","ACHA-ORBEA ECHEVERRIA, JUAN IGNACIO",CONSEJERO,0.000,05/09/2007
"FLUIDRA, S.A.","ANIOL, S.L.",CONSEJERO,10.151,25/04/2012
"FLUIDRA, S.A.","BANSABADELL INVERSIO DESENVOLUPAMENT, S.A.",CONSEJERO,9.670,07/01/2003
"FLUIDRA, S.A.","CATHCART , RICHARD",CONSEJERO,0.029,05/09/2007
"FLUIDRA, S.A.","CORBERA SERRA, BERNARDO",CONSEJERO,0.180,03/10/2002
"FLUIDRA, S.A.",GRUPO CORPORATIVO EMPRESARIAL DE LA CAJA DE AHORROS Y M. PIEDAD DE NAVARRA,CONSEJERO,7.999,24/06/2009
"FLUIDRA, S.A.","PLANES CORTS, ELOY",CONSEJERO DELEGADO,0.059,31/10/2006
"FLUIDRA, S.A.","PLANES VILA, JUAN",PRESIDENTE,12.151,05/09/2007
"FLUIDRA, S.A.","SERRA DUFFO, OSCAR",CONSEJERO,0.000,05/09/2007
"FLUIDRA, S.A.","SON LEONG, KAM",CONSEJERO,0.000,05/09/2007
"BIOSEARCH, S.A.","ANTUÑA RODRIGUEZ, AURELIO",PRESIDENTE,0.000,19/04/2012
"BIOSEARCH, S.A.","BOUTRY , ERICK",CONSEJERO,0.000,14/01/2011
"BIOSEARCH, S.A.","CEREZUELA RODRIGUEZ, JOSE",CONSEJERO,0.001,05/06/2012
"BIOSEARCH, S.A.","DE LEON MOLINARI, JOSE MARIA",CONSEJERO,0.007,23/03/2004
"BIOSEARCH, S.A.","GOMEZ DE BAEZA TINTURE, PEDRO ANTONIO",CONSEJERO,0.000,20/05/2004
"BIOSEARCH, S.A.","LATRON , CHRISTOPHE",CONSEJERO,0.007,05/06/2012
"BIOSEARCH, S.A.","MARTINEZ DE LA ESCALERA ALVAREZ, ISIDORO",CONSEJERO,0.005,05/06/2012
"BIOSEARCH, S.A.","PEREZ ALVAREZ, MIGUEL ANGEL",CONSEJERO,0.000,19/04/2012
"BIOSEARCH, S.A.","ROLDAN AGUILAR, LAUREANO",CONSEJERO,0.014,30/10/2002
"GRUPO TAVEX, S.A.","AFFONSO FERREIRA, GUILHERME",CONSEJERO,0.000,12/06/2008
"GRUPO TAVEX, S.A.","GARCIA DE SOUZA, MARCIO",PRESIDENTE,0.000,16/06/2011
"GRUPO TAVEX, S.A.",IBERFOMENTO SA SCR BAJA 18.11.05,CONSEJERO,0.000,14/06/2002
"GRUPO TAVEX, S.A.","MORALES CESPEDE, FRANCISCO SILVERIO",CONSEJERO,0.000,20/06/2006
"GRUPO TAVEX, S.A.","REUTER-DOMENECH , ALBRECHT CURT",CONSEJERO,0.000,20/06/2006
"GRUPO TAVEX, S.A.","SCHMID , HERBERT",CONSEJERO,0.000,11/06/2008
"GRUPO TAVEX, S.A.","VEGA DE SEOANE AZPILICUETA, JAVIER",CONSEJERO,0.150,20/06/2006
"CONSTRUCCIONES Y AUXILIAR DE FERROCARRILES, S.A","ARIZCORRETA GARCIA, ANDRES",CONSEJERO,n/d,26/12/1991
"CONSTRUCCIONES Y AUXILIAR DE FERROCARRILES, S.A","ARKONADA ETXARRI, LUIS MIGUEL",CONSEJERO,n/d,23/03/1993
"CONSTRUCCIONES Y AUXILIAR DE FERROCARRILES, S.A","ARRESE ARRATIBEL, FERMIN",CONSEJERO,n/d,18/07/1995
"CONSTRUCCIONES Y AUXILIAR DE FERROCARRILES, S.A","ARRIETA SUDUPE, JUAN JOSE",CONSEJERO,0.003,07/06/2008
"CONSTRUCCIONES Y AUXILIAR DE FERROCARRILES, S.A","BAZTARRICA GARIJO, JOSE MARIA",PRESIDENTE,n/d,26/12/1991
"CONSTRUCCIONES Y AUXILIAR DE FERROCARRILES, S.A","BERROETA ECHEVARRIA, JOSE IGNACIO",CONSEJERO,0.003,07/06/2008
"CONSTRUCCIONES Y AUXILIAR DE FERROCARRILES, S.A","DE LA RICA BASAGOITI, JOSE",CONSEJERO,n/d,25/05/1991
"CONSTRUCCIONES Y AUXILIAR DE FERROCARRILES, S.A","GARAIALDE MAIZTEGUI, XABIER",CONSEJERO,0.002,18/11/2004
"CONSTRUCCIONES Y AUXILIAR DE FERROCARRILES, S.A","KUTXABANK, S.A",CONSEJERO,19.056,02/06/2012
"CONSTRUCCIONES Y AUXILIAR DE FERROCARRILES, S.A","LEGARDA ZARAGÜETA, ALEJANDRO",CONSEJERO,n/d,26/12/1991
"CIE AUTOMOTIVE, S.A.","ADDVALIA CAPITAL, S.A.",CONSEJERO,5.069,26/04/2007
"CIE AUTOMOTIVE, S.A.",AUSTRAL B.V.,CONSEJERO,8.504,27/10/2010
"CIE AUTOMOTIVE, S.A.","COMPAÑIA ANDALUZA DE RENTAS E INVERSIONES, S.A.",CONSEJERO,5.000,26/04/2007
"CIE AUTOMOTIVE, S.A.","CORPORACION GESTAMP, S.L.",CONSEJERO,25.923,27/10/2010
"CIE AUTOMOTIVE, S.A.","DEL RIO SANZ DE ACEDO, FERMIN",CONSEJERO,0.022,21/12/2005
"CIE AUTOMOTIVE, S.A.","ELIDOZA PROMOCION DE EMPRESAS, S.L.",VICEPRESIDENTE 1º,10.865,21/12/2005
"CIE AUTOMOTIVE, S.A.","HERRERA BARANDIARAN, JESUS MARIA",CONSEJERO DELEGADO,0.395,21/01/2013
"CIE AUTOMOTIVE, S.A.","OCHOA CRESPO, ANGEL",CONSEJERO,0.000,27/10/2010
"CIE AUTOMOTIVE, S.A.","PRADERA JAUREGUI, ANTONIO MARIA",PRESIDENTE,13.539,29/07/2002
"CIE AUTOMOTIVE, S.A.","QMC DIRECTORSHIPS, S.L.",CONSEJERO,0.000,12/05/2005
"CIE AUTOMOTIVE, S.A.","RIBERAS MERA, FRANCISCO J.",CONSEJERO,0.000,27/10/2010
"CIE AUTOMOTIVE, S.A.","RIBERAS MERA, JUAN MARIA",CONSEJERO,0.000,27/10/2010
"CIE AUTOMOTIVE, S.A.","SOLCHAGA CATALA, CARLOS",CONSEJERO,0.000,27/10/2010
"URBAR INGENIEROS, S.A.",COMPAÑIA DE INVERSIONES EUROPA HOLDING ESPAÑA,CONSEJERO,n/d,11/12/2012
"URBAR INGENIEROS, S.A.","ESCRIBESE GARCIA, JOSE",CONSEJERO DELEGADO,0.000,16/05/2012
"URBAR INGENIEROS, S.A.","GILART GONZALEZ, OLGA",SECRETARIO CONSEJERO,0.000,11/12/2012
"URBAR INGENIEROS, S.A.","INVERSIONES RIBERA DEL TAJO, S.L.",CONSEJERO,n/d,11/12/2012
"URBAR INGENIEROS, S.A.","SALAMA FALABELLA, RAFAEL",PRESIDENTE,15.598,29/07/2011
"URBAR INGENIEROS, S.A.","SANZ DE ACEDO LAMBOTTE, GONZALO",CONSEJERO,0.958,27/12/2011
"URBAR INGENIEROS, S.A.","TRONCOSO CONLIN, PILAR",CONSEJERO,0.000,26/06/2008
"IBERPAPEL GESTION, S.A.","BASTERRA LARROUDE, NESTOR",VICEPRESIDENTE,1.350,01/01/2010
"IBERPAPEL GESTION, S.A.","ECHEVARRIA CANALES, IÑIGO",PRESIDENTE,0.229,31/12/2009
"IBERPAPEL GESTION, S.A.","ERRAZTI NAVARRO, BALTASAR",CONSEJERO,0.007,21/10/1997
"IBERPAPEL GESTION, S.A.","GONZALEZ DEL VALLE CHAVARRI, MARTIN MARIA",CONSEJERO,0.003,22/02/2005
"IBERPAPEL GESTION, S.A.","GUIBERT UCIN, MARIA LUISA",CONSEJERO,0.009,01/01/2010
"IBERPAPEL GESTION, S.A.","MARTINEZ PEÑALBA, IÑAKI",CONSEJERO,0.048,22/09/2011
"IBERPAPEL GESTION, S.A.","SANSINENEA URBISTONDO, GABRIEL",CONSEJERO,1.494,25/03/2010
"IBERPAPEL GESTION, S.A.","USANDIZAGA ARANZADI, IÑAKI",CONSEJERO,0.206,21/10/1997
SOCIEDAD ANONIMA HULLERA VASCO-LEONESA,"BARDAJI MUÑOZ, LUIS ANTONIO",CONSEJERO,0.001,31/10/2007
SOCIEDAD ANONIMA HULLERA VASCO-LEONESA,"CARAZO GONZALEZ, INOCENCIO",CONSEJERO,n/d,27/05/2010
SOCIEDAD ANONIMA HULLERA VASCO-LEONESA,"DEL VALLE ALONSO, ANTONIO JOSE",PRESIDENTE-CONSEJERO DELEGADO,0.856,28/04/2004
SOCIEDAD ANONIMA HULLERA VASCO-LEONESA,"DEL VALLE ALONSO, ARTURO",VICEPRESIDENTE,0.856,30/06/1995
SOCIEDAD ANONIMA HULLERA VASCO-LEONESA,"DEL VALLE JOVER, AURELIO",CONSEJERO,1.250,30/06/2000
SOCIEDAD ANONIMA HULLERA VASCO-LEONESA,"DEL VALLE MONSALVE, FRANCISCO JAVIER",CONSEJERO,0.965,16/12/1994
SOCIEDAD ANONIMA HULLERA VASCO-LEONESA,"MANZANARES SANCHEZ, MARIA DEL CARMEN",CONSEJERO,1.155,27/05/2010
SOCIEDAD ANONIMA HULLERA VASCO-LEONESA,"ZAPICO DIEZ, FRANCISCO JAVIER",CONSEJERO,1.515,30/05/2012
"BODEGAS RIOJANAS, S.A.","BANCO DE VALENCIA, S.A.",CONSEJERO,12.725,02/11/2012
"BODEGAS RIOJANAS, S.A.","BEZARES MUNILLA, ELADIO",CONSEJERO,0.013,25/01/2006
"BODEGAS RIOJANAS, S.A.","CATALAN FRIAS, MARIA JOSE",CONSEJERO,1.898,16/06/2011
"BODEGAS RIOJANAS, S.A.","FRIAS MONJE, SANTIAGO",CONSEJERO,0.395,07/06/2005
"BODEGAS RIOJANAS, S.A.","FRIMON INVERSIONES Y ASESORAMIENTO, S.L.",VICEPRESIDENTE,8.282,28/06/2001
"BODEGAS RIOJANAS, S.A.","GOMEZ BORRERO, JOSE CARLOS",CONSEJERO,0.009,13/06/2006
"BODEGAS RIOJANAS, S.A.","INFAZAR, S.L.",PRESIDENTE,6.059,28/06/2001
"BODEGAS RIOJANAS, S.A.","NALDA FRIAS, FELIPE",VICESECRETARIO CONSEJERO,2.201,13/06/2006
"BODEGAS RIOJANAS, S.A.","VAN GESTION Y ASESORAMIENTO EMPRESARIAL, S.L.",VICEPRESIDENTE,10.204,28/06/2001
"BANCO ESPAÑOL DE CREDITO, S.A.","BASAGOITI GARCIA-TUÑON, ANTONIO",PRESIDENTE,0.000,03/11/2010
"BANCO ESPAÑOL DE CREDITO, S.A.","CORRAL LOPE, JOSE",CONSEJERO,0.001,19/01/2011
"BANCO ESPAÑOL DE CREDITO, S.A.","DELIBES LINIERS, JUAN MANUEL",CONSEJERO,0.018,08/07/1994
"BANCO ESPAÑOL DE CREDITO, S.A.","FUSTER VAN BENDEGEM, JOSE MARIA",CONSEJERO,0.003,01/03/2006
"BANCO ESPAÑOL DE CREDITO, S.A.","GARCIA CANTERA, JOSE",CONSEJERO,0.019,06/07/2012
"BANCO ESPAÑOL DE CREDITO, S.A.","GARCIA GARCIA, ROSA MARIA",CONSEJERO,0.000,12/05/2009
"BANCO ESPAÑOL DE CREDITO, S.A.","GUITARD MARIN, JUAN",CONSEJERO,0.000,19/01/2011
"BANCO ESPAÑOL DE CREDITO, S.A.","LIBANO DAURELLA, ALFONSO",CONSEJERO,0.009,19/01/2011
"BANCO ESPAÑOL DE CREDITO, S.A.","LOPEZ COMBARROS, JOSE LUIS",VICEPRESIDENTE,0.000,12/05/2009
"BANCO ESPAÑOL DE CREDITO, S.A.","RODRIGUEZ INCIARTE, MATIAS PEDRO",CONSEJERO,0.004,29/12/1993
"BANCO ESPAÑOL DE CREDITO, S.A.","SABANZA TERUEL, CARLOS",CONSEJERO,0.000,28/02/2006
"BANCO ESPAÑOL DE CREDITO, S.A.","SAGARDOY BENGOECHEA, JUAN ANTONIO",CONSEJERO,0.000,29/02/2012
"BANCO ESPAÑOL DE CREDITO, S.A.","SALAZAR-SIMPSON BOS, LUIS ALBERTO",CONSEJERO,0.000,29/02/2012
"BANCO ESPAÑOL DE CREDITO, S.A.","SAN FELIX GARCIA, JAVIER",CONSEJERO DELEGADO,0.005,30/05/2012
"BANCO POPULAR ESPAÑOL, S.A.",ALLIANZ SE,CONSEJERO,4.312,15/12/2008
"BANCO POPULAR ESPAÑOL, S.A.","APARICIO VALLS, FRANCISCO MARIA",SECRETARIO CONSEJERO,0.033,18/12/2003
"BANCO POPULAR ESPAÑOL, S.A.","ARIAS MOSQUERA, JOSE MARIA",CONSEJERO,0.016,11/06/2012
"BANCO POPULAR ESPAÑOL, S.A.","FERREIRA DE AMORIN, AMERICO",CONSEJERO,4.042,27/05/2003
"BANCO POPULAR ESPAÑOL, S.A.","FRADIN , ALAIN",CONSEJERO,0.000,20/12/2011
"BANCO POPULAR ESPAÑOL, S.A.",FUNDACION PEDRO BARRIE DE LA MAZA,CONSEJERO,3.307,11/06/2012
"BANCO POPULAR ESPAÑOL, S.A.","GOMEZ MARTIN, FRANCISCO",CONSEJERO DELEGADO,0.003,30/01/2013
"BANCO POPULAR ESPAÑOL, S.A.","HERRANDO PRAT DE LA RIBA, LUIS",VICEPRESIDENTE,0.002,22/04/2008
"BANCO POPULAR ESPAÑOL, S.A.","HIGUERA MONTEJO, ROBERTO",VICEPRESIDENTE,0.004,22/04/2008
"BANCO POPULAR ESPAÑOL, S.A.","MAIANCA INVERSION, S.L.",CONSEJERO,0.000,11/06/2012
"BANCO POPULAR ESPAÑOL, S.A.","MOLINS LOPEZ-RODO, ANA Mª",CONSEJERO,0.000,28/04/2011
"BANCO POPULAR ESPAÑOL, S.A.","OROVIOGOICOECHEA ORTEGA, JORGE",CONSEJERO,0.000,30/01/2013
"BANCO POPULAR ESPAÑOL, S.A.","REVOREDO DELVECCHIO, HELENA IRENE",CONSEJERO,0.286,30/05/2007
"BANCO POPULAR ESPAÑOL, S.A.","RODRIGUEZ GARCIA, JOSE RAMON",CONSEJERO,0.021,23/04/1998
"BANCO POPULAR ESPAÑOL, S.A.","RON GÜIMIL, ANGEL CARLOS",PRESIDENTE,0.004,22/03/2006
"BANCO POPULAR ESPAÑOL, S.A.","SINDICATURA DE ACCIONISTAS BCO.POPULAR ESPAÑOL, S.A",CONSEJERO,9.002,27/05/1992
"BANCO POPULAR ESPAÑOL, S.A.","TARDIO BARUTEL, VICENTE",CONSEJERO,0.001,19/12/2007
"BANCO POPULAR ESPAÑOL, S.A.","UNION EUROPEA DE INVERSIONES, S.A.",CONSEJERO,3.729,19/05/2009
"DURO FELGUERA, S.A.","CONSTRUCCIONES OBRAS INTEGRALES NORTEÑAS, S.L.",CONSEJERO,0.001,09/05/2008
"DURO FELGUERA, S.A.","DEL VALLES SUAREZ, ANGEL ANTONIO",PRESIDENTE-CONSEJERO DELEGADO,0.052,23/06/2011
"DURO FELGUERA, S.A.","INVERSIONES EL PILES, S.L.",CONSEJERO,24.400,12/05/2008
"DURO FELGUERA, S.A.","INVERSIONES RIO MAGDALENA, S.L.",CONSEJERO,8.596,23/06/2011
"DURO FELGUERA, S.A.","INVERSIONES SOMIO, S.R.L.",VICEPRESIDENTE,24.386,31/01/2008
"DURO FELGUERA, S.A.","RESIDENCIAL VEGASOL, S.L.",CONSEJERO,16.428,25/05/2005
"DURO FELGUERA, S.A.","RODRIGUEZ GARCIA, ACACIO FAUSTINO",CONSEJERO,0.021,25/05/2005
"DURO FELGUERA, S.A.","SOLCHAGA CATALA, CARLOS",CONSEJERO,0.001,20/07/2011
"DURO FELGUERA, S.A.","VALERO ARTOLA, FRANCISCO JAVIER",CONSEJERO,0.012,23/06/2011
"AYCO GRUPO INMOBILIARIO, S.A.","BANCO MARE NOSTRUM, S.A.",PRESIDENTE,41.704,21/02/2012
"AYCO GRUPO INMOBILIARIO, S.A.","COMPLEJOS EMPRESARIALES DEL LEVANTE, S.L.",CONSEJERO,n/d,21/02/2012
"AYCO GRUPO INMOBILIARIO, S.A.","GRUPO ONOFRE MIGUEL, S.L.",CONSEJERO,29.994,06/07/2005
"AYCO GRUPO INMOBILIARIO, S.A.","INVERGESTION, SOCIEDAD DE INVERSIONES Y GESTION, S.A.",CONSEJERO,20.000,14/06/2006
"AYCO GRUPO INMOBILIARIO, S.A.","RGA GESIN, S.L.",CONSEJERO,n/d,19/12/2011
"AYCO GRUPO INMOBILIARIO, S.A.","SA NOSTRA DE INVERSIONES, E.F.C., S.A.",CONSEJERO,0.000,12/05/2004
"ACS, ACTIVIDADES DE CONSTRUCCION Y SERVICIOS, S.A.","BATUECAS TORREGO, AGUSTIN",CONSEJERO,0.771,07/07/1999
