id,relation,['Nombre', 'Cargo', '% Derechos Voto']
1,[],'TUBACEX, S.A.', 'AROSTEGUI GOMEZ, GERARDO', 'CONSEJERO', '0.025', '30/11/1989'
191,[],'UNION EUROPEA DE INVERSIONES, S.A.', 'NIGORRA COBIAN, LUIS', 'VICEPRESIDENTE', '0.000', '28/06/2011'
192,[],'UNION EUROPEA DE INVERSIONES, S.A.', 'PEREZ JAIME, VICENTE JOSE', 'PRESIDENTE', '0.000', '09/10/2012'
193,[],'GRUPO CATALANA OCCIDENTE, S.A.', 'ALVAREZ JUSTE, JOSE IGNACIO', 'CONSEJERO', '0.000', '26/04/2012'
194,[],'GRUPO CATALANA OCCIDENTE, S.A.', 'ARREGUI LABORDA, FRANCISCO JOSE', 'SECRETARIO CONSEJERO', '0.067', '29/01/1998'
195,[],'GRUPO CATALANA OCCIDENTE, S.A.', 'BACH PORTABELLA, MARIANO', 'CONSEJERO', '0.038', '24/10/1991'
196,[],'GRUPO CATALANA OCCIDENTE, S.A.', 'COTYP, S.L.', 'CONSEJERO', '0.002', '23/02/2012'
197,[],'GRUPO CATALANA OCCIDENTE, S.A.', 'ENRICH IZARD, JORGE', 'CONSEJERO', '0.000', '04/10/1993'
198,[],'GRUPO CATALANA OCCIDENTE, S.A.', 'ENRICH SERRA, JORGE', 'CONSEJERO', '0.000', '25/06/2009'
199,[],'GRUPO CATALANA OCCIDENTE, S.A.', 'GUERRERO GILABERT, JUAN IGNACIO', 'CONSEJERO', '0.000', '28/04/2011'
200,[],'GRUPO CATALANA OCCIDENTE, S.A.', 'HALPERN BLASCO, FEDERICO', 'CONSEJERO', '0.028', '10/12/1993'
201,[],'GRUPO CATALANA OCCIDENTE, S.A.', 'INVERSIONES GIRO GODO, S.L., S.U.', 'CONSEJERO', '0.013', '29/11/2007'
202,[],'GRUPO CATALANA OCCIDENTE, S.A.', 'JS INVEST, S.L.', 'VICEPRESIDENTE', '0.000', '23/02/2012'
203,[],'GRUPO CATALANA OCCIDENTE, S.A.', 'JUSAL, S.L.', 'CONSEJERO', '5.001', '29/04/2010'
204,[],'GRUPO CATALANA OCCIDENTE, S.A.', 'LACANUDA CONSELL, S.L.', 'CONSEJERO', '0.000', '29/04/2010'
205,[],'GRUPO CATALANA OCCIDENTE, S.A.', 'NEWSERCAL, S.L.', 'CONSEJERO', '0.095', '24/02/2011'
206,[],'GRUPO CATALANA OCCIDENTE, S.A.', 'OLANDOR, S.L.', 'CONSEJERO', '0.003', '25/04/1996'
207,[628],'GRUPO CATALANA OCCIDENTE, S.A.', 'SERRA FARRE, JOSE MARIA', 'PRESIDENTE', '0.383', '31/10/2002'
208,[],'GRUPO CATALANA OCCIDENTE, S.A.', 'SOLER SERRA, MARIA ASSUMPTA', 'CONSEJERO', '0.150', '24/09/2009'
209,[],'GRUPO CATALANA OCCIDENTE, S.A.', 'VILLASA, S.L.', 'CONSEJERO', '0.476', '26/06/1997'
210,[],'COMPA\xc3\x91IA DE INVERSIONES MOBILIARIAS BARCINO, S.A.', 'ARRAEZ BERTOLIN, IGNACIO JOSE', 'CONSEJERO', '0.033', '29/06/2009'
211,[],'COMPA\xc3\x91IA DE INVERSIONES MOBILIARIAS BARCINO, S.A.', 'NEGRA BATLLE, ALBERTO LUIS', 'CONSEJERO', '0.557', '28/06/2002'
212,[],'COMPA\xc3\x91IA DE INVERSIONES MOBILIARIAS BARCINO, S.A.', 'NEGRA BATLLE, ANTONIO', 'PRESIDENTE', '0.004', '15/07/2001'
213,[],'COMPA\xc3\x91IA DE INVERSIONES MOBILIARIAS BARCINO, S.A.', 'SALAS PRADA, DIEGO', 'CONSEJERO', '0.002', '12/02/2004'
214,[],'COMPA\xc3\x91IA DE INVERSIONES MOBILIARIAS BARCINO, S.A.', 'SIERRA GARCIA, ANTONIO', 'CONSEJERO', '0.003', '12/02/2004'
215,[],'ABERTIS INFRAESTRUCTURAS, S.A.', 'ALEMANY MAS, SALVADOR', 'PRESIDENTE-CONSEJERO DELEGADO', '0.033', '11/05/2009'
216,[],'ABERTIS INFRAESTRUCTURAS, S.A.', 'ARMENTER VIDAL, MARCELINO', 'CONSEJERO', '0.001', '18/09/2007'
217,[503,1259],'ABERTIS INFRAESTRUCTURAS, S.A.', 'COLOMER CASELLAS, CARLOS', 'CONSEJERO', '0.000', '24/07/2012'
218,[277,506,1318],'ABERTIS INFRAESTRUCTURAS, S.A.', 'FAINE CASAS, ISIDRO', 'VICEPRESIDENTE', '0.008', '11/05/2009'
219,[],'ABERTIS INFRAESTRUCTURAS, S.A.', 'FORNESA RIBO, RICARDO', 'CONSEJERO', '0.000', '24/02/2009'
220,[1004],'ABERTIS INFRAESTRUCTURAS, S.A.', 'G3T, S.L.', 'VICEPRESIDENTE', '0.288', '29/11/2005'
221,[],'ABERTIS INFRAESTRUCTURAS, S.A.', 'GUTIERREZ MENDEZ, MIGUEL ANGEL', 'CONSEJERO', '0.000', '30/11/2004'
222,[],'ABERTIS INFRAESTRUCTURAS, S.A.', 'OBRASCON HUARTE LAIN, S.A.', 'VICEPRESIDENTE 2\xc2\xba', '15.460', '12/12/2012'
223,[],'ABERTIS INFRAESTRUCTURAS, S.A.', 'OHL CONCESIONES S.L.', 'CONSEJERO', '15.241', '12/12/2012'
224,[],'ABERTIS INFRAESTRUCTURAS, S.A.', 'OHL EMISIONES, S.A. UNIPERSONAL', 'CONSEJERO', '15.241', '12/12/2012'
225,[],'ABERTIS INFRAESTRUCTURAS, S.A.', 'PABLIS 21, S.L.', 'CONSEJERO', '0.000', '24/04/2012'
226,[],'ABERTIS INFRAESTRUCTURAS, S.A.', 'REYNES MASSANET, FRANCISCO', 'CONSEJERO DELEGADO', '0.000', '08/06/2010'
227,[],'ABERTIS INFRAESTRUCTURAS, S.A.', 'THEATRE DIRECTORSHIP SERVICES ALPHA S.A.R.L.', 'CONSEJERO', '0.000', '25/10/2010'
228,[],'ABERTIS INFRAESTRUCTURAS, S.A.', 'THEATRE DIRECTORSHIP SERVICES BETA S.A.R.L.', 'CONSEJERO', '0.000', '25/10/2010'
229,[],'ABERTIS INFRAESTRUCTURAS, S.A.', 'THEATRE DIRECTORSHIP SERVICES GAMA, S.A.R.L.', 'CONSEJERO', '0.000', '25/10/2010'
230,[],'INDO INTERNACIONAL, S.A.', 'BADIA ALMIRALL, LUIS', 'CONSEJERO', '0.067', '16/06/2008'
231,[],'INDO INTERNACIONAL, S.A.', 'COBAIN MERCADO, S.L.', 'PRESIDENTE', '14.489', '01/12/2011'
232,[],'INDO INTERNACIONAL, S.A.', 'COHERMA MERCADO, S.L.', 'CONSEJERO', '10.412', '16/06/2008'
233,[],'INDO INTERNACIONAL, S.A.', 'DOMASA INVERSIONES, S.L.', 'CONSEJERO', '9.000', '01/10/2007'
234,[],'INDO INTERNACIONAL, S.A.', 'MAS SUMALLA, RAMON', 'CONSEJERO', '0.000', '16/06/2008'
235,[],'INDO INTERNACIONAL, S.A.', 'SABRIA PITARCH, JUAN', 'CONSEJERO DELEGADO', '0.000', '01/12/2011'
236,[],'DOGI INTERNATIONAL FABRICS, S.A.', 'DOMENECH ALVARO, EDUARDO', 'CONSEJERO', '0.030', '10/12/1997'
237,[],'DOGI INTERNATIONAL FABRICS, S.A.', 'DOMENECH ALVARO, SERGIO', 'CONSEJERO', '0.030', '10/12/1997'
238,[],'DOGI INTERNATIONAL FABRICS, S.A.', 'DOMENECH GIMENEZ, JOSEP', 'PRESIDENTE', '29.531', '10/12/1997'
239,[1184],'DOGI INTERNATIONAL FABRICS, S.A.', 'FIATC MUTUA DE SEGUROS Y DE REASEGUROS A PRIMA FIJA', 'CONSEJERO', '0.703', '26/05/2005'
240,[],'DOGI INTERNATIONAL FABRICS, S.A.', 'FRANQUES RIBERA, CARLOS', 'CONSEJERO', '0.016', '14/06/2012'
241,[],'DOGI INTERNATIONAL FABRICS, S.A.', 'LOS CLASICOS Z, S.L.', 'CONSEJERO', 'n/d', '29/10/2010'
242,[],'DOGI INTERNATIONAL FABRICS, S.A.', 'TORRAS TORRAS, JORGE', 'CONSEJERO DELEGADO', '0.547', '10/11/2008'
243,[],'MOBILIARIA MONESA, S.A.', 'CAHISPA, S.A. DE SEGUROS DE VIDA', 'CONSEJERO', '18.038', '14/06/2011'
244,[],'MOBILIARIA MONESA, S.A.', 'CELLA RAYMOND, JUAN ERNESTO', 'CONSEJERO', '1.000', '30/06/2009'
245,[],'MOBILIARIA MONESA, S.A.', 'FERRAN CALDERO, CARLOS', 'CONSEJERO', '0.500', '30/06/2009'
246,[],'MOBILIARIA MONESA, S.A.', 'GUINART ROYO, ALBERT', 'CONSEJERO', '0.000', '02/07/2009'
247,[],'MOBILIARIA MONESA, S.A.', 'HUGUET GALI, ORIOL', 'VICEPRESIDENTE', '0.000', '15/12/2011'
248,[],'MOBILIARIA MONESA, S.A.', 'INVERSIONES GUINART 2001, S.L.', 'PRESIDENTE', '16.684', '15/12/2011'
249,[],'MOBILIARIA MONESA, S.A.', 'RADE 2000, S.L.', 'CONSEJERO', '22.989', '18/02/2008'
250,[],'MOBILIARIA MONESA, S.A.', 'ROSE RED, S.L.', 'CONSEJERO', '6.116', '30/06/2008'
251,[],'MOBILIARIA MONESA, S.A.', 'VIOLA TARRAGONA, ENRIQUE', 'CONSEJERO', '0.412', '30/06/2008'
252,[607],'TESTA INMUEBLES EN RENTA, S.A.', 'CORSINI FREESE, MIGUEL', 'CONSEJERO', 'n/d', '29/06/2004'
253,[901,1315],'TESTA INMUEBLES EN RENTA, S.A.', 'CROISSIER BATISTA, LUIS CARLOS', 'CONSEJERO', '0.000', '26/07/2005'
254,[],'TESTA INMUEBLES EN RENTA, S.A.', 'DEL CORRO GARCIA-LOMAS, PEDRO', 'CONSEJERO', '0.000', '28/01/2003'
255,[],'TESTA INMUEBLES EN RENTA, S.A.', 'LOUREDA LOPEZ, DANIEL', 'CONSEJERO DELEGADO', '0.000', '29/01/2008'
256,[1321],'TESTA INMUEBLES EN RENTA, S.A.', 'LOUREDA MANTI\xc3\x91AN, JOSE MANUEL', 'CONSEJERO', 'n/d', '30/06/2003'
257,[492],'TESTA INMUEBLES EN RENTA, S.A.', 'MANRIQUE CECILIA, MANUEL', 'CONSEJERO', '0.000', '30/11/2004'
258,[],'TESTA INMUEBLES EN RENTA, S.A.', 'RODRIGUEZ-AVIAL LLARDENT, FERNANDO', 'PRESIDENTE-CONSEJERO DELEGADO', '0.000', '29/06/2010'
259,[],'TESTA INMUEBLES EN RENTA, S.A.', 'RODRIGUEZ-PONGA SALAMANCA, ESTANISLAO', 'CONSEJERO', 'n/d', '29/06/2004'
260,[],'UNION CATALANA DE VALORES, S.A.', 'ALVAREZ GOMIS, ALFREDO', 'CONSEJERO', '0.254', '10/07/2003'
261,[],'UNION CATALANA DE VALORES, S.A.', 'CALSINA GOMIS, JOAQUIN', 'CONSEJERO', '0.002', '10/07/2003'
262,[],'UNION CATALANA DE VALORES, S.A.', 'CASCANTE DAVILA, LUIS MARIA', 'CONSEJERO', 'n/d', '29/06/2012'
263,[],'UNION CATALANA DE VALORES, S.A.', 'GIL PEREZ, ANTONIO', 'CONSEJERO', 'n/d', '29/06/2012'
264,[],'UNION CATALANA DE VALORES, S.A.', 'GOMIS PINTO, ENRIQUE', 'PRESIDENTE-CONSEJERO DELEGADO', '0.008', '26/06/2003'
265,[],'UNION CATALANA DE VALORES, S.A.', 'PINTO PRAT, MARIA LORETO', 'CONSEJERO', '0.008', '21/12/1988'
266,[],'INVERPYME, S.C.R. DE REGIMEN COMUN, S.A.', 'AURELL FERRER, JOSE MARIA', 'VICEPRESIDENTE', '8.047', '24/11/2009'
267,[],'INVERPYME, S.C.R. DE REGIMEN COMUN, S.A.', 'BANCO DE LA PEQUE\xc3\x91A Y MEDIANA EMPRESA, S.A.', 'CONSEJERO', '28.951', '30/11/2005'
268,[],'INVERPYME, S.C.R. DE REGIMEN COMUN, S.A.', 'CASTELLO VILA, RAMON', 'CONSEJERO', 'n/d', '17/11/2004'
269,[],'INVERPYME, S.C.R. DE REGIMEN COMUN, S.A.', 'DURAN BELLIDO, JOSE M\xc2\xaa', 'CONSEJERO', '0.510', '02/07/2001'
270,[],'INVERPYME, S.C.R. DE REGIMEN COMUN, S.A.', 'EUROFONDO, S.A.', 'CONSEJERO', '0.001', '10/01/2013'
271,[],'INVERPYME, S.C.R. DE REGIMEN COMUN, S.A.', 'FIDUCIAIRE RENE GILLIERON', 'CONSEJERO', '0.477', '02/07/2001'
272,[],'INVERPYME, S.C.R. DE REGIMEN COMUN, S.A.', 'PLUVISILVA IBERICA, S.L.', 'CONSEJERO', '5.046', '02/07/2001'
273,[],'CAIXABANK, S.A.', 'AURIN PARDO, EVA', 'CONSEJERO', '0.000', '26/06/2012'
274,[],'CAIXABANK, S.A.', 'BASSONS BONCOMPTE, MARIA TERESA', 'CONSEJERO', '0.000', '26/06/2012'
275,[],'CAIXABANK, S.A.', 'CAJA DE AHORROS Y MONTE DE PIEDAD DE NAVARRA', 'CONSEJERO', '1.163', '20/09/2012'
276,[],'CAIXABANK, S.A.', 'ESTAPE TOUS, ISABEL', 'CONSEJERO', '0.007', '06/09/2007'
277,[218,506,1318],'CAIXABANK, S.A.', 'FAINE CASAS, ISIDRO', 'PRESIDENTE', '0.014', '07/05/2009'
278,[106],'CAIXABANK, S.A.', 'GABARRO SERRA, SALVADOR', 'CONSEJERO', '0.000', '06/06/2003'
279,[],'CAIXABANK, S.A.', 'GALLARDO TORREDEDIA, SUSANA', 'CONSEJERO', '0.001', '06/09/2007'
280,[],'CAIXABANK, S.A.', 'GODO MUNTA\xc3\x91OLA, JAVIER', 'CONSEJERO', '0.030', '02/05/2005'
281,[],'CAIXABANK, S.A.', 'IBARZ ALEGRIA, JAVIER', 'CONSEJERO', '0.000', '26/06/2012'
282,[],'CAIXABANK, S.A.', 'LI , DAVID K.P.', 'CONSEJERO', '0.000', '06/09/2007'
283,[],'CAIXABANK, S.A.', 'LLOBET MARIA, MARIA DOLORES', 'CONSEJERO', '0.000', '07/05/2009'
284,[],'CAIXABANK, S.A.', 'LOPEZ BURNIOL, JUAN JOSE', 'CONSEJERO', '0.000', '12/05/2011'
285,[811],'CAIXABANK, S.A.', 'MINC , ALAIN', 'CONSEJERO', '0.000', '06/09/2007'
286,[],'CAIXABANK, S.A.', 'MONTE DE PIEDAD Y CAJA DE AHORROS SAN FERNANDO DE GUADALAJARA, HUELVA, JEREZ', 'CONSEJERO', '1.114', '20/09/2012'
287,[110,1322],'CAIXABANK, S.A.', 'NIN GENOVA, JUAN MARIA', 'VICEPRESIDENTE-CONSEJERO DELEGADO', '0.007', '12/05/2011'
288,[],'CAIXABANK, S.A.', 'REED , JOHN S.', 'CONSEJERO', '0.000', '03/11/2011'
289,[],'CAIXABANK, S.A.', 'RODES CASTA\xc3\x91E, LEOPOLDO', 'CONSEJERO', '0.000', '30/07/2009'
290,[112],'CAIXABANK, S.A.', 'ROSELL LASTORTRAS, JUAN', 'CONSEJERO', '0.001', '06/09/2007'
291,[],'CAIXABANK, S.A.', 'VIVES TORRENTS, FRANCESC XAVIER', 'CONSEJERO', '0.000', '08/06/2008'
292,[],'CAMPOFRIO FOOD GROUP, S.A.', 'BALLVE LANTERO, PEDRO JOSE', 'PRESIDENTE', '12.402', '30/06/1992'
293,[930,956,1459],'CAMPOFRIO FOOD GROUP, S.A.', 'DE LA DEHESA ROMERO, GUILLERMO', 'CONSEJERO', '0.000', '21/03/1997'
294,[],'CAMPOFRIO FOOD GROUP, S.A.', 'GUIBELALDE I\xc3\x91URRITEGUI, JUAN JOSE', 'CONSEJERO', '0.001', '30/06/1992'
295,[],'CAMPOFRIO FOOD GROUP, S.A.', 'LARRY POPE, CHARLES', 'CONSEJERO', '0.000', '16/12/2008'
296,[],'CAMPOFRIO FOOD GROUP, S.A.', 'LUTER IV , JOSEPH W.', 'CONSEJERO', '0.000', '25/02/2010'
297,[],'CAMPOFRIO FOOD GROUP, S.A.', 'MICHAEL KHAIRALLAH, KARIM', 'CONSEJERO', '0.000', '16/12/2008'
298,[],'CAMPOFRIO FOOD GROUP, S.A.', 'PETRIDES , YIANNIS', 'VICEPRESIDENTE', '0.010', '16/12/2008'
299,[],'CAMPOFRIO FOOD GROUP, S.A.', 'SAMUEL KRAMER, CALEB', 'CONSEJERO', '0.000', '16/12/2008'
300,[],'CAMPOFRIO FOOD GROUP, S.A.', 'SERRANO MARTIN, LUIS', 'CONSEJERO', '0.000', '30/06/2000'
301,[],'CAMPOFRIO FOOD GROUP, S.A.', 'SHARPE , ROBERT ALAIR', 'CONSEJERO', '0.000', '29/05/2012'
302,[1396],'BANKIA, S.A', 'AYUSO GARCIA, JOAQUIN', 'CONSEJERO', '0.000', '25/05/2012'
303,[1301],'BANKIA, S.A', 'CAMPO GARCIA, FRANCISCO JAVIER', 'CONSEJERO', '0.000', '25/05/2012'
304,[502],'BANKIA, S.A', 'CASTILLO SANZ, EVA', 'CONSEJERO', '0.000', '25/05/2012'
305,[],'BANKIA, S.A', 'COSMEN MENENDEZ-CASTA\xc3\x91EDO, JORGE', 'CONSEJERO', '0.000', '25/05/2012'
306,[],'BANKIA, S.A', 'FEITO HIGUERUELA, JOSE LUIS', 'CONSEJERO', '0.000', '25/05/2012'
307,[1290],'BANKIA, S.A', 'FERNANDEZ MENDEZ DE ANDES, FERNANDO', 'CONSEJERO', '0.000', '25/05/2012'
308,[151],'BANKIA, S.A', 'GOIRIGOLZARRI TELLAECHE, JOSE IGNACIO', 'PRESIDENTE', '0.001', '09/05/2012'
309,[],'BANKIA, S.A', 'LAFITA PARDO, ALFREDO', 'CONSEJERO', '0.000', '08/06/2012'
310,[],'BANKIA, S.A', 'RENGIFO ABBAD, ALVARO', 'CONSEJERO', '0.000', '08/06/2012'
311,[],'BANKIA, S.A', 'SEVILLA ALVAREZ, JOSE', 'CONSEJERO', '0.000', '25/05/2012'
312,[],'INDUSTRIA DE DISE\xc3\x91O TEXTIL, S.A.', 'ARNAU SIERRA, JOSE', 'VICEPRESIDENTE', '0.001', '17/07/2012'
313,[86],'INDUSTRIA DE DISE\xc3\x91O TEXTIL, S.A.', 'ESPINOSA DE LOS MONTEROS BERNALDO DE QUIROS, CARLOS', 'CONSEJERO', '0.006', '17/07/2012'
314,[],'INDUSTRIA DE DISE\xc3\x91O TEXTIL, S.A.', 'GARTLER, S.L.', 'CONSEJERO', '50.010', '12/12/2006'
315,[511],'INDUSTRIA DE DISE\xc3\x91O TEXTIL, S.A.', 'ISLA ALVAREZ DE TEJERA, PABLO', 'PRESIDENTE-CONSEJERO DELEGADO', '0.058', '19/07/2011'
316,[],'INDUSTRIA DE DISE\xc3\x91O TEXTIL, S.A.', 'MILLER , IRENE R.', 'CONSEJERO', '0.002', '23/05/2001'
317,[],'INDUSTRIA DE DISE\xc3\x91O TEXTIL, S.A.', 'ORTEGA GAONA, AMANCIO', 'CONSEJERO', '59.294', '23/05/2001'
318,[],'INDUSTRIA DE DISE\xc3\x91O TEXTIL, S.A.', 'SARACHO RODRIGUEZ DE TORRES, EMILIO', 'CONSEJERO', '0.000', '13/07/2010'
319,[],'INDUSTRIA DE DISE\xc3\x91O TEXTIL, S.A.', 'SMEDEGAARD ANDERSEN, NILS', 'CONSEJERO', '0.001', '13/07/2010'
320,[90],'INDUSTRIA DE DISE\xc3\x91O TEXTIL, S.A.', 'URGOITI LOPEZ OCA\xc3\x91A, JUAN MANUEL', 'CONSEJERO', '0.004', '23/05/2001'
321,[],'FLUIDRA, S.A.', 'ACHA-ORBEA ECHEVERRIA, JUAN IGNACIO', 'CONSEJERO', '0.000', '05/09/2007'
322,[],'FLUIDRA, S.A.', 'ANIOL, S.L.', 'CONSEJERO', '10.151', '25/04/2012'
323,[],'FLUIDRA, S.A.', 'BANSABADELL INVERSIO DESENVOLUPAMENT, S.A.', 'CONSEJERO', '9.670', '07/01/2003'
324,[],'FLUIDRA, S.A.', 'CATHCART , RICHARD', 'CONSEJERO', '0.029', '05/09/2007'
325,[],'FLUIDRA, S.A.', 'CORBERA SERRA, BERNARDO', 'CONSEJERO', '0.180', '03/10/2002'
326,[8,1446],'FLUIDRA, S.A.', 'GRUPO CORPORATIVO EMPRESARIAL DE LA CAJA DE AHORROS Y M. PIEDAD DE NAVARRA', 'CONSEJERO', '7.999', '24/06/2009'
327,[],'FLUIDRA, S.A.', 'PLANES CORTS, ELOY', 'CONSEJERO DELEGADO', '0.059', '31/10/2006'
328,[],'FLUIDRA, S.A.', 'PLANES VILA, JUAN', 'PRESIDENTE', '12.151', '05/09/2007'
329,[],'FLUIDRA, S.A.', 'SERRA DUFFO, OSCAR', 'CONSEJERO', '0.000', '05/09/2007'
330,[],'FLUIDRA, S.A.', 'SON LEONG, KAM', 'CONSEJERO', '0.000', '05/09/2007'
331,[],'BIOSEARCH, S.A.', 'ANTU\xc3\x91A RODRIGUEZ, AURELIO', 'PRESIDENTE', '0.000', '19/04/2012'
332,[],'BIOSEARCH, S.A.', 'BOUTRY , ERICK', 'CONSEJERO', '0.000', '14/01/2011'
333,[],'BIOSEARCH, S.A.', 'CEREZUELA RODRIGUEZ, JOSE', 'CONSEJERO', '0.001', '05/06/2012'
334,[1145],'BIOSEARCH, S.A.', 'DE LEON MOLINARI, JOSE MARIA', 'CONSEJERO', '0.007', '23/03/2004'
335,[],'BIOSEARCH, S.A.', 'GOMEZ DE BAEZA TINTURE, PEDRO ANTONIO', 'CONSEJERO', '0.000', '20/05/2004'
336,[],'BIOSEARCH, S.A.', 'LATRON , CHRISTOPHE', 'CONSEJERO', '0.007', '05/06/2012'
337,[],'BIOSEARCH, S.A.', 'MARTINEZ DE LA ESCALERA ALVAREZ, ISIDORO', 'CONSEJERO', '0.005', '05/06/2012'
338,[],'BIOSEARCH, S.A.', 'PEREZ ALVAREZ, MIGUEL ANGEL', 'CONSEJERO', '0.000', '19/04/2012'
339,[67],'BIOSEARCH, S.A.', 'ROLDAN AGUILAR, LAUREANO', 'CONSEJERO', '0.014', '30/10/2002'
340,[],'GRUPO TAVEX, S.A.', 'AFFONSO FERREIRA, GUILHERME', 'CONSEJERO', '0.000', '12/06/2008'
341,[],'GRUPO TAVEX, S.A.', 'GARCIA DE SOUZA, MARCIO', 'PRESIDENTE', '0.000', '16/06/2011'
342,[669,942,1027],'GRUPO TAVEX, S.A.', 'IBERFOMENTO SA SCR BAJA 18.11.05', 'CONSEJERO', '0.000', '14/06/2002'
343,[],'GRUPO TAVEX, S.A.', 'MORALES CESPEDE, FRANCISCO SILVERIO', 'CONSEJERO', '0.000', '20/06/2006'
344,[],'GRUPO TAVEX, S.A.', 'REUTER-DOMENECH , ALBRECHT CURT', 'CONSEJERO', '0.000', '20/06/2006'
345,[],'GRUPO TAVEX, S.A.', 'SCHMID , HERBERT', 'CONSEJERO', '0.000', '11/06/2008'
346,[],'GRUPO TAVEX, S.A.', 'VEGA DE SEOANE AZPILICUETA, JAVIER', 'CONSEJERO', '0.150', '20/06/2006'
347,[],'CONSTRUCCIONES Y AUXILIAR DE FERROCARRILES, S.A', 'ARIZCORRETA GARCIA, ANDRES', 'CONSEJERO', 'n/d', '26/12/1991'
348,[],'CONSTRUCCIONES Y AUXILIAR DE FERROCARRILES, S.A', 'ARKONADA ETXARRI, LUIS MIGUEL', 'CONSEJERO', 'n/d', '23/03/1993'
349,[],'CONSTRUCCIONES Y AUXILIAR DE FERROCARRILES, S.A', 'ARRESE ARRATIBEL, FERMIN', 'CONSEJERO', 'n/d', '18/07/1995'
350,[],'CONSTRUCCIONES Y AUXILIAR DE FERROCARRILES, S.A', 'ARRIETA SUDUPE, JUAN JOSE', 'CONSEJERO', '0.003', '07/06/2008'
351,[],'CONSTRUCCIONES Y AUXILIAR DE FERROCARRILES, S.A', 'BAZTARRICA GARIJO, JOSE MARIA', 'PRESIDENTE', 'n/d', '26/12/1991'
352,[],'CONSTRUCCIONES Y AUXILIAR DE FERROCARRILES, S.A', 'BERROETA ECHEVARRIA, JOSE IGNACIO', 'CONSEJERO', '0.003', '07/06/2008'
353,[],'CONSTRUCCIONES Y AUXILIAR DE FERROCARRILES, S.A', 'DE LA RICA BASAGOITI, JOSE', 'CONSEJERO', 'n/d', '25/05/1991'
354,[],'CONSTRUCCIONES Y AUXILIAR DE FERROCARRILES, S.A', 'GARAIALDE MAIZTEGUI, XABIER', 'CONSEJERO', '0.002', '18/11/2004'
355,[],'CONSTRUCCIONES Y AUXILIAR DE FERROCARRILES, S.A', 'KUTXABANK, S.A', 'CONSEJERO', '19.056', '02/06/2012'
356,[882],'CONSTRUCCIONES Y AUXILIAR DE FERROCARRILES, S.A', 'LEGARDA ZARAG\xc3\x9cETA, ALEJANDRO', 'CONSEJERO', 'n/d', '26/12/1991'
357,[13],'CIE AUTOMOTIVE, S.A.', 'ADDVALIA CAPITAL, S.A.', 'CONSEJERO', '5.069', '26/04/2007'
358,[485,1079],'CIE AUTOMOTIVE, S.A.', 'AUSTRAL B.V.', 'CONSEJERO', '8.504', '27/10/2010'
359,[],'CIE AUTOMOTIVE, S.A.', 'COMPA\xc3\x91IA ANDALUZA DE RENTAS E INVERSIONES, S.A.', 'CONSEJERO', '5.000', '26/04/2007'
360,[],'CIE AUTOMOTIVE, S.A.', 'CORPORACION GESTAMP, S.L.', 'CONSEJERO', '25.923', '27/10/2010'
361,[],'CIE AUTOMOTIVE, S.A.', 'DEL RIO SANZ DE ACEDO, FERMIN', 'CONSEJERO', '0.022', '21/12/2005'
362,[],'CIE AUTOMOTIVE, S.A.', 'ELIDOZA PROMOCION DE EMPRESAS, S.L.', 'VICEPRESIDENTE 1\xc2\xba', '10.865', '21/12/2005'
363,[],'CIE AUTOMOTIVE, S.A.', 'HERRERA BARANDIARAN, JESUS MARIA', 'CONSEJERO DELEGADO', '0.395', '21/01/2013'
364,[],'CIE AUTOMOTIVE, S.A.', 'OCHOA CRESPO, ANGEL', 'CONSEJERO', '0.000', '27/10/2010'
365,[],'CIE AUTOMOTIVE, S.A.', 'PRADERA JAUREGUI, ANTONIO MARIA', 'PRESIDENTE', '13.539', '29/07/2002'
366,[833,892],'CIE AUTOMOTIVE, S.A.', 'QMC DIRECTORSHIPS, S.L.', 'CONSEJERO', '0.000', '12/05/2005'
367,[],'CIE AUTOMOTIVE, S.A.', 'RIBERAS MERA, FRANCISCO J.', 'CONSEJERO', '0.000', '27/10/2010'
368,[],'CIE AUTOMOTIVE, S.A.', 'RIBERAS MERA, JUAN MARIA', 'CONSEJERO', '0.000', '27/10/2010'
369,[441,926],'CIE AUTOMOTIVE, S.A.', 'SOLCHAGA CATALA, CARLOS', 'CONSEJERO', '0.000', '27/10/2010'
370,[],'URBAR INGENIEROS, S.A.', 'COMPA\xc3\x91IA DE INVERSIONES EUROPA HOLDING ESPA\xc3\x91A', 'CONSEJERO', 'n/d', '11/12/2012'
371,[],'URBAR INGENIEROS, S.A.', 'ESCRIBESE GARCIA, JOSE', 'CONSEJERO DELEGADO', '0.000', '16/05/2012'
372,[],'URBAR INGENIEROS, S.A.', 'GILART GONZALEZ, OLGA', 'SECRETARIO CONSEJERO', '0.000', '11/12/2012'
373,[],'URBAR INGENIEROS, S.A.', 'INVERSIONES RIBERA DEL TAJO, S.L.', 'CONSEJERO', 'n/d', '11/12/2012'
374,[],'URBAR INGENIEROS, S.A.', 'SALAMA FALABELLA, RAFAEL', 'PRESIDENTE', '15.598', '29/07/2011'
375,[],'URBAR INGENIEROS, S.A.', 'SANZ DE ACEDO LAMBOTTE, GONZALO', 'CONSEJERO', '0.958', '27/12/2011'
376,[],'URBAR INGENIEROS, S.A.', 'TRONCOSO CONLIN, PILAR', 'CONSEJERO', '0.000', '26/06/2008'
